entity,label,start_char,end_char,sentence
Cilician,NORP,24130,24138,"Spartacus, however, avoided Crassus, and made his way through Lucania to the sea, and, falling in with some Cilician piratical vessels, in the Straits, he formed a design to seize Sicily, and by throwing two thousand men into the island, to kindle again the servile war there, the flames of which had not long since been quenched, and required only a few sparks to set it again in a blaze."
Straits,LOC,24165,24172,"Spartacus, however, avoided Crassus, and made his way through Lucania to the sea, and, falling in with some Cilician piratical vessels, in the Straits, he formed a design to seize Sicily, and by throwing two thousand men into the island, to kindle again the servile war there, the flames of which had not long since been quenched, and required only a few sparks to set it again in a blaze."
Sicily,GPE,24202,24208,"Spartacus, however, avoided Crassus, and made his way through Lucania to the sea, and, falling in with some Cilician piratical vessels, in the Straits, he formed a design to seize Sicily, and by throwing two thousand men into the island, to kindle again the servile war there, the flames of which had not long since been quenched, and required only a few sparks to set it again in a blaze."
Cilicians,NORP,24416,24425,"The Cilicians came to terms with Spartacus, and received his presents; but they deceived him, and sailed off."
Spartacus,PERSON,24445,24454,"The Cilicians came to terms with Spartacus, and received his presents; but they deceived him, and sailed off."
Rhegine,NORP,24624,24631,"Under these circumstances, he marched back from the coast, and fixed his army in the peninsula of the Rhegine territory."
Crassus,PERSON,24643,24650,"Crassus now came up, and observing that the nature of the ground suggested what was to be done, he resolved to build a wall across the isthmus, for the purpose of keeping his soldiers employed, and cutting off the supplies of the enemy."
Spartacus,PERSON,25233,25242,"At first Spartacus paid no attention to what was going on, and treated it with contempt; but when forage began to fail, and he wanted to advance further into the interior, he discovered the lines of Crassus; and as there was nothing to be got in the peninsula, taking advantage of a night when there was a fall of snow and a wintry storm, he filled up a small part of the ditch with earth, and wood, and the branches of trees, and so carried over a third part of his army."
Crassus,PERSON,25423,25430,"At first Spartacus paid no attention to what was going on, and treated it with contempt; but when forage began to fail, and he wanted to advance further into the interior, he discovered the lines of Crassus; and as there was nothing to be got in the peninsula, taking advantage of a night when there was a fall of snow and a wintry storm, he filled up a small part of the ditch with earth, and wood, and the branches of trees, and so carried over a third part of his army."
Crassus,PERSON,25706,25713,"Now Crassus was afraid that Spartacus might form a design to march against Rome; but he was encouraged by many of the followers of Spartacus quitting their leader, in consequence of some disputes, and encamping by themselves upon the banks of the lake Lucanis, which they say is subject to changes, at certain intervals becoming sweet, and then again salt, and not potable."
Spartacus,PERSON,25730,25739,"Now Crassus was afraid that Spartacus might form a design to march against Rome; but he was encouraged by many of the followers of Spartacus quitting their leader, in consequence of some disputes, and encamping by themselves upon the banks of the lake Lucanis, which they say is subject to changes, at certain intervals becoming sweet, and then again salt, and not potable."
Rome,GPE,25777,25781,"Now Crassus was afraid that Spartacus might form a design to march against Rome; but he was encouraged by many of the followers of Spartacus quitting their leader, in consequence of some disputes, and encamping by themselves upon the banks of the lake Lucanis, which they say is subject to changes, at certain intervals becoming sweet, and then again salt, and not potable."
Spartacus,PERSON,25833,25842,"Now Crassus was afraid that Spartacus might form a design to march against Rome; but he was encouraged by many of the followers of Spartacus quitting their leader, in consequence of some disputes, and encamping by themselves upon the banks of the lake Lucanis, which they say is subject to changes, at certain intervals becoming sweet, and then again salt, and not potable."
Lucanis,LOC,25954,25961,"Now Crassus was afraid that Spartacus might form a design to march against Rome; but he was encouraged by many of the followers of Spartacus quitting their leader, in consequence of some disputes, and encamping by themselves upon the banks of the lake Lucanis, which they say is subject to changes, at certain intervals becoming sweet, and then again salt, and not potable."
Crassus,PERSON,26076,26083,"Crassus coming upon this band, drove them from the lake; but he was prevented from cutting them to pieces and pursuing them, by the sudden appearance of Spartacus, who checked the flight."
Spartacus,PERSON,26229,26238,"Crassus coming upon this band, drove them from the lake; but he was prevented from cutting them to pieces and pursuing them, by the sudden appearance of Spartacus, who checked the flight."
Crassus,PERSON,26264,26271,"Crassus had, before this, written to the Senate, to say that they ought to summon Lucullus from Thrace, and Pompeius from Iberia; but he now changed his mind, and made every effort to put an end to the war before they arrived, knowing that the success would be attributed to him who came last, and brought help, and not to himself."
Senate,ORG,26305,26311,"Crassus had, before this, written to the Senate, to say that they ought to summon Lucullus from Thrace, and Pompeius from Iberia; but he now changed his mind, and made every effort to put an end to the war before they arrived, knowing that the success would be attributed to him who came last, and brought help, and not to himself."
Lucullus,PERSON,26346,26354,"Crassus had, before this, written to the Senate, to say that they ought to summon Lucullus from Thrace, and Pompeius from Iberia; but he now changed his mind, and made every effort to put an end to the war before they arrived, knowing that the success would be attributed to him who came last, and brought help, and not to himself."
Thrace,GPE,26360,26366,"Crassus had, before this, written to the Senate, to say that they ought to summon Lucullus from Thrace, and Pompeius from Iberia; but he now changed his mind, and made every effort to put an end to the war before they arrived, knowing that the success would be attributed to him who came last, and brought help, and not to himself."
Pompeius,PERSON,26372,26380,"Crassus had, before this, written to the Senate, to say that they ought to summon Lucullus from Thrace, and Pompeius from Iberia; but he now changed his mind, and made every effort to put an end to the war before they arrived, knowing that the success would be attributed to him who came last, and brought help, and not to himself."
Iberia,GPE,26386,26392,"Crassus had, before this, written to the Senate, to say that they ought to summon Lucullus from Thrace, and Pompeius from Iberia; but he now changed his mind, and made every effort to put an end to the war before they arrived, knowing that the success would be attributed to him who came last, and brought help, and not to himself."
Caius Cannicius,PERSON,26753,26768,"Accordingly, he determined to attack first those who had separated from the main body, and were carrying on the campaign by themselves, under the command of Caius Cannicius and Castus; and he dispatched six thousand men, with orders to occupy a certain hill, and keep themselves concealed."
Castus,PERSON,26773,26779,"Accordingly, he determined to attack first those who had separated from the main body, and were carrying on the campaign by themselves, under the command of Caius Cannicius and Castus; and he dispatched six thousand men, with orders to occupy a certain hill, and keep themselves concealed."
Crassus,GPE,26897,26904,"The men of Crassus endeavoured to escape notice by covering their helmets; but, being seen by two women, who were sacrificing for the enemy, they would have been in danger, if Crassus had not quickly appeared, and fought a battle, the most severely contested of all in this war, in which he destroyed twelve thousand three hundred men, of whom he found only two wounded in the back"
Crassus,PERSON,27062,27069,"The men of Crassus endeavoured to escape notice by covering their helmets; but, being seen by two women, who were sacrificing for the enemy, they would have been in danger, if Crassus had not quickly appeared, and fought a battle, the most severely contested of all in this war, in which he destroyed twelve thousand three hundred men, of whom he found only two wounded in the back"
Romans,NORP,27322,27328,": all the rest died in the ranks, fighting against the Romans."
Spartacus,PERSON,27361,27370,"After the defeat of this body, Spartacus retired to the mountains of Petilia, followed by Quintius, one of the generals of Crassus, and Scrofas, his quæstor, who hung close on his rear."
Petilia,GPE,27399,27406,"After the defeat of this body, Spartacus retired to the mountains of Petilia, followed by Quintius, one of the generals of Crassus, and Scrofas, his quæstor, who hung close on his rear."
Quintius,PERSON,27420,27428,"After the defeat of this body, Spartacus retired to the mountains of Petilia, followed by Quintius, one of the generals of Crassus, and Scrofas, his quæstor, who hung close on his rear."
Crassus,PERSON,27453,27460,"After the defeat of this body, Spartacus retired to the mountains of Petilia, followed by Quintius, one of the generals of Crassus, and Scrofas, his quæstor, who hung close on his rear."
Scrofas,PERSON,27466,27473,"After the defeat of this body, Spartacus retired to the mountains of Petilia, followed by Quintius, one of the generals of Crassus, and Scrofas, his quæstor, who hung close on his rear."
Spartacus,PERSON,27526,27535,"But, upon Spartacus facing about, the Romans were thrown into disorderly flight, and made their escape, after having with difficulty rescued their quæstor, who was wounded."
Romans,NORP,27554,27560,"But, upon Spartacus facing about, the Romans were thrown into disorderly flight, and made their escape, after having with difficulty rescued their quæstor, who was wounded."
Spartacus,PERSON,27718,27727,"This success was the ruin of Spartacus, in consequence of the self-confidence which it infused into the slaves: they would not now consent to avoid a battle, nor yet would they obey their commanders, whom they surrounded, with arms in their hands, on the march, and compelled to lead them back through Lucania against the Romans, wherein they did the very thing that Crassus desired"
Lucania,GPE,27991,27998,"This success was the ruin of Spartacus, in consequence of the self-confidence which it infused into the slaves: they would not now consent to avoid a battle, nor yet would they obey their commanders, whom they surrounded, with arms in their hands, on the march, and compelled to lead them back through Lucania against the Romans, wherein they did the very thing that Crassus desired"
Romans,NORP,28011,28017,"This success was the ruin of Spartacus, in consequence of the self-confidence which it infused into the slaves: they would not now consent to avoid a battle, nor yet would they obey their commanders, whom they surrounded, with arms in their hands, on the march, and compelled to lead them back through Lucania against the Romans, wherein they did the very thing that Crassus desired"
Crassus,PERSON,28056,28063,"This success was the ruin of Spartacus, in consequence of the self-confidence which it infused into the slaves: they would not now consent to avoid a battle, nor yet would they obey their commanders, whom they surrounded, with arms in their hands, on the march, and compelled to lead them back through Lucania against the Romans, wherein they did the very thing that Crassus desired"
Pompeius,PERSON,28098,28106,"; for it was reported that Pompeius was now approaching, and there were not a few who openly said that the victory in this war belonged to him; for he would fight as soon as he arrived, and put an end to the campaign."
Crassus,PERSON,28295,28302,"While Crassus, therefore, who was eager to decide the affair by a battle, and to fix his camp near the enemy, was engaged in digging his trenches, the slaves came up to them and attacked the men who were at work."
Spartacus,PERSON,28570,28579,"As fresh men from both sides kept coming up to help their comrades, Spartacus, seeing that he must fight, arranged all his army in order of battle."
Crassus,PERSON,28904,28911,"When his horse was brought to him, he drew his sword and said, that if he won the battle he should have plenty of fine horses from the enemy, and if he was defeated he should not want one; upon which he killed his horse, and then he made his way towards Crassus himself, through many men, and inflicting many wounds; but he did not succeed in reaching Crassus, though he engaged with and killed two centurions."
Crassus,PERSON,29002,29009,"When his horse was brought to him, he drew his sword and said, that if he won the battle he should have plenty of fine horses from the enemy, and if he was defeated he should not want one; upon which he killed his horse, and then he made his way towards Crassus himself, through many men, and inflicting many wounds; but he did not succeed in reaching Crassus, though he engaged with and killed two centurions."
Crassus,PERSON,29207,29214,"But, though Crassus had been successful, and had displayed the skill of a great general, and had exposed his person to danger, yet the credit of the victory did not escape being appropriated to Pompeius; for those who fled from the battle were destroyed by him, and Pompeius wrote to the Senate that Crassus had defeated the slaves in the open field, but he had cut up the war by the roots."
Pompeius,PERSON,29389,29397,"But, though Crassus had been successful, and had displayed the skill of a great general, and had exposed his person to danger, yet the credit of the victory did not escape being appropriated to Pompeius; for those who fled from the battle were destroyed by him, and Pompeius wrote to the Senate that Crassus had defeated the slaves in the open field, but he had cut up the war by the roots."
Pompeius,PERSON,29461,29469,"But, though Crassus had been successful, and had displayed the skill of a great general, and had exposed his person to danger, yet the credit of the victory did not escape being appropriated to Pompeius; for those who fled from the battle were destroyed by him, and Pompeius wrote to the Senate that Crassus had defeated the slaves in the open field, but he had cut up the war by the roots."
Senate,ORG,29483,29489,"But, though Crassus had been successful, and had displayed the skill of a great general, and had exposed his person to danger, yet the credit of the victory did not escape being appropriated to Pompeius; for those who fled from the battle were destroyed by him, and Pompeius wrote to the Senate that Crassus had defeated the slaves in the open field, but he had cut up the war by the roots."
Crassus,PERSON,29495,29502,"But, though Crassus had been successful, and had displayed the skill of a great general, and had exposed his person to danger, yet the credit of the victory did not escape being appropriated to Pompeius; for those who fled from the battle were destroyed by him, and Pompeius wrote to the Senate that Crassus had defeated the slaves in the open field, but he had cut up the war by the roots."
Pompeius,PERSON,29590,29598,"Now Pompeius had a splendid triumph for his victory over Sertorius and his exploits in Iberia; but Crassus did not venture to ask for the greater triumph; and even as to the foot triumph called the ovation, which he did enjoy, it was considered but a mean thing, and below his dignity that he had a triumph for a servile war."
Sertorius,PERSON,29643,29652,"Now Pompeius had a splendid triumph for his victory over Sertorius and his exploits in Iberia; but Crassus did not venture to ask for the greater triumph; and even as to the foot triumph called the ovation, which he did enjoy, it was considered but a mean thing, and below his dignity that he had a triumph for a servile war."
Iberia,GPE,29673,29679,"Now Pompeius had a splendid triumph for his victory over Sertorius and his exploits in Iberia; but Crassus did not venture to ask for the greater triumph; and even as to the foot triumph called the ovation, which he did enjoy, it was considered but a mean thing, and below his dignity that he had a triumph for a servile war."
Crassus,PERSON,29685,29692,"Now Pompeius had a splendid triumph for his victory over Sertorius and his exploits in Iberia; but Crassus did not venture to ask for the greater triumph; and even as to the foot triumph called the ovation, which he did enjoy, it was considered but a mean thing, and below his dignity that he had a triumph for a servile war."
Pompeius,PERSON,30051,30059,"After these events, Pompeius was forthwith invited to the consulship, and, though Crassus had hopes of becoming his colleague, still he did not hesitate to solicit the assistance of Pompeius."
Crassus,PERSON,30113,30120,"After these events, Pompeius was forthwith invited to the consulship, and, though Crassus had hopes of becoming his colleague, still he did not hesitate to solicit the assistance of Pompeius."
Pompeius,PERSON,30213,30221,"After these events, Pompeius was forthwith invited to the consulship, and, though Crassus had hopes of becoming his colleague, still he did not hesitate to solicit the assistance of Pompeius."
Pompeius,PERSON,30223,30231,"Pompeius gladly listened to his proposal, for he was desirous in any way always to have Crassus his debtor for some obligation, and he actively exerted himself on behalf of Crassus; and finally he said, in his address to the public assembly, that he should feel no less grateful for the return of Crassus as his colleague than for his own election."
Crassus,PERSON,30311,30318,"Pompeius gladly listened to his proposal, for he was desirous in any way always to have Crassus his debtor for some obligation, and he actively exerted himself on behalf of Crassus; and finally he said, in his address to the public assembly, that he should feel no less grateful for the return of Crassus as his colleague than for his own election."
Crassus,PERSON,30396,30403,"Pompeius gladly listened to his proposal, for he was desirous in any way always to have Crassus his debtor for some obligation, and he actively exerted himself on behalf of Crassus; and finally he said, in his address to the public assembly, that he should feel no less grateful for the return of Crassus as his colleague than for his own election."
Crassus,PERSON,30520,30527,"Pompeius gladly listened to his proposal, for he was desirous in any way always to have Crassus his debtor for some obligation, and he actively exerted himself on behalf of Crassus; and finally he said, in his address to the public assembly, that he should feel no less grateful for the return of Crassus as his colleague than for his own election."
Crassus,PERSON,30840,30847,": however, Crassus made a great festival in honour of Hercules, and feasted the people at ten thousand tables, and gave them an allowance of corn for three months."
Hercules,PERSON,30883,30891,": however, Crassus made a great festival in honour of Hercules, and feasted the people at ten thousand tables, and gave them an allowance of corn for three months."
Pompeius,PERSON,31039,31047,"It was at the close of their consulship, when Pompeius and Crassus happened to be addressing the public assembly, that a man, not of any distinction, a Roman eques, a rustic in his mode of life, and one who did not meddle with public affairs, Onatius Aurelius, got up on the rostra, and, coming forward, told a dream which he had had."
Crassus,PERSON,31052,31059,"It was at the close of their consulship, when Pompeius and Crassus happened to be addressing the public assembly, that a man, not of any distinction, a Roman eques, a rustic in his mode of life, and one who did not meddle with public affairs, Onatius Aurelius, got up on the rostra, and, coming forward, told a dream which he had had."
Roman,NORP,31145,31150,"It was at the close of their consulship, when Pompeius and Crassus happened to be addressing the public assembly, that a man, not of any distinction, a Roman eques, a rustic in his mode of life, and one who did not meddle with public affairs, Onatius Aurelius, got up on the rostra, and, coming forward, told a dream which he had had."
Onatius Aurelius,PERSON,31236,31252,"It was at the close of their consulship, when Pompeius and Crassus happened to be addressing the public assembly, that a man, not of any distinction, a Roman eques, a rustic in his mode of life, and one who did not meddle with public affairs, Onatius Aurelius, got up on the rostra, and, coming forward, told a dream which he had had."
Jupiter,PERSON,31329,31336,"""Jupiter,"" he said, ""appeared to me, and bade me tell the citizens not to let the consuls lay down their office before they have become friends."""
Pompeius,PERSON,31552,31560,"Upon the man saying this, and the assembly bidding the consuls be reconciled, Pompeius stood silent; but Crassus offering his right hand first, said, ""Citizens, I do not consider that I am humbling myself or doing anything unworthy of me when I make the advance towards good-will and friendship to Pompeius, to whom you gave the name of Magnus before he had a beard, and voted a triumph before he was a senator."""
Crassus,PERSON,31579,31586,"Upon the man saying this, and the assembly bidding the consuls be reconciled, Pompeius stood silent; but Crassus offering his right hand first, said, ""Citizens, I do not consider that I am humbling myself or doing anything unworthy of me when I make the advance towards good-will and friendship to Pompeius, to whom you gave the name of Magnus before he had a beard, and voted a triumph before he was a senator."""
Pompeius,PERSON,31772,31780,"Upon the man saying this, and the assembly bidding the consuls be reconciled, Pompeius stood silent; but Crassus offering his right hand first, said, ""Citizens, I do not consider that I am humbling myself or doing anything unworthy of me when I make the advance towards good-will and friendship to Pompeius, to whom you gave the name of Magnus before he had a beard, and voted a triumph before he was a senator."""
Magnus,PERSON,31811,31817,"Upon the man saying this, and the assembly bidding the consuls be reconciled, Pompeius stood silent; but Crassus offering his right hand first, said, ""Citizens, I do not consider that I am humbling myself or doing anything unworthy of me when I make the advance towards good-will and friendship to Pompeius, to whom you gave the name of Magnus before he had a beard, and voted a triumph before he was a senator."""
Crassus,PERSON,31961,31968,These were the things worthy of commemoration in the consulship of Crassus.
Lutatius Catulus,PERSON,32191,32207,"But his censorship passed over altogether without results, and without any active measures; for he neither revised the senate, nor inspected the equites, nor made a census of the citizens, though he had for his colleague Lutatius Catulus, the mildest of the Romans."
Romans,NORP,32228,32234,"But his censorship passed over altogether without results, and without any active measures; for he neither revised the senate, nor inspected the equites, nor made a census of the citizens, though he had for his colleague Lutatius Catulus, the mildest of the Romans."
Crassus,PERSON,32256,32263,"But it is said that Crassus designed a shameful and violent measure, to make Egypt tributary to the Romans, and that Catulus opposed him vigorously, on which a difference arising between them, they voluntarily laid down their office."
Egypt,GPE,32313,32318,"But it is said that Crassus designed a shameful and violent measure, to make Egypt tributary to the Romans, and that Catulus opposed him vigorously, on which a difference arising between them, they voluntarily laid down their office."
Romans,NORP,32336,32342,"But it is said that Crassus designed a shameful and violent measure, to make Egypt tributary to the Romans, and that Catulus opposed him vigorously, on which a difference arising between them, they voluntarily laid down their office."
Catulus,PERSON,32353,32360,"But it is said that Crassus designed a shameful and violent measure, to make Egypt tributary to the Romans, and that Catulus opposed him vigorously, on which a difference arising between them, they voluntarily laid down their office."
Catiline,PERSON,32487,32495,"In the affair of Catiline, which was a serious matter, and one that came near overthrowing Rome, some suspicion, it is true, attached to Crassus, and a man came forward to name him as implicated in the conspiracy, but nobody believed him."
Rome,GPE,32561,32565,"In the affair of Catiline, which was a serious matter, and one that came near overthrowing Rome, some suspicion, it is true, attached to Crassus, and a man came forward to name him as implicated in the conspiracy, but nobody believed him."
Crassus,PERSON,32607,32614,"In the affair of Catiline, which was a serious matter, and one that came near overthrowing Rome, some suspicion, it is true, attached to Crassus, and a man came forward to name him as implicated in the conspiracy, but nobody believed him."
Cicero,PERSON,32718,32724,"However, Cicero, in one of his orations, evidently imputed to Crassus and Cæsar participation in the plot; but this oration was not published till after the death of both of them."
Crassus,PERSON,32771,32778,"However, Cicero, in one of his orations, evidently imputed to Crassus and Cæsar participation in the plot; but this oration was not published till after the death of both of them."
Cæsar,PERSON,32783,32788,"However, Cicero, in one of his orations, evidently imputed to Crassus and Cæsar participation in the plot; but this oration was not published till after the death of both of them."
Cicero,PERSON,32927,32933,"But in the oration on his consulship, Cicero says that Crassus came to him by night and brought a letter which contained information on the affair of Catiline, as if his object was to establish the truth of the conspiracy."
Crassus,PERSON,32944,32951,"But in the oration on his consulship, Cicero says that Crassus came to him by night and brought a letter which contained information on the affair of Catiline, as if his object was to establish the truth of the conspiracy."
Catiline,PERSON,33039,33047,"But in the oration on his consulship, Cicero says that Crassus came to him by night and brought a letter which contained information on the affair of Catiline, as if his object was to establish the truth of the conspiracy."
Crassus,PERSON,33116,33123,"Now Crassus always hated Cicero for this, but his son stood in the way of his doing Cicero any open injury."
Cicero,PERSON,33137,33143,"Now Crassus always hated Cicero for this, but his son stood in the way of his doing Cicero any open injury."
Cicero,PERSON,33196,33202,"Now Crassus always hated Cicero for this, but his son stood in the way of his doing Cicero any open injury."
Publius,PERSON,33224,33231,"For Publius, who was fond of oratory and of improving himself, was much attached to Cicero, and went so far as to change his dress when Cicero did at the time of his trial, and he induced the other young men to do the same."
Cicero,PERSON,33304,33310,"For Publius, who was fond of oratory and of improving himself, was much attached to Cicero, and went so far as to change his dress when Cicero did at the time of his trial, and he induced the other young men to do the same."
Cicero,PERSON,33356,33362,"For Publius, who was fond of oratory and of improving himself, was much attached to Cicero, and went so far as to change his dress when Cicero did at the time of his trial, and he induced the other young men to do the same."
Cicero,PERSON,33504,33510,"At last he prevailed upon his father, and reconciled him to Cicero.

XIV."
Cæsar,PERSON,33523,33528,"When Cæsar returned from his province, he made preparations to be a candidate for the consulship; but, observing that Crassus and Pompeius were again at enmity, he did not choose by applying to one of them for his help to have the other for his enemy, and he did not think that he could succeed if neither of them assisted him."
Crassus,PERSON,33636,33643,"When Cæsar returned from his province, he made preparations to be a candidate for the consulship; but, observing that Crassus and Pompeius were again at enmity, he did not choose by applying to one of them for his help to have the other for his enemy, and he did not think that he could succeed if neither of them assisted him."
Pompeius,PERSON,33648,33656,"When Cæsar returned from his province, he made preparations to be a candidate for the consulship; but, observing that Crassus and Pompeius were again at enmity, he did not choose by applying to one of them for his help to have the other for his enemy, and he did not think that he could succeed if neither of them assisted him."
Ciceros,PERSON,34015,34022,"Accordingly, he set about reconciling them, by continually urging upon them, and showing that by their attempts to ruin one another they would increase the power of the Ciceros, and Catuli, and Catos, who would lose all their influence if they would unite their friends and adherents, and so direct the administration with combined strength, and one purpose."
Catuli,PERSON,34028,34034,"Accordingly, he set about reconciling them, by continually urging upon them, and showing that by their attempts to ruin one another they would increase the power of the Ciceros, and Catuli, and Catos, who would lose all their influence if they would unite their friends and adherents, and so direct the administration with combined strength, and one purpose."
Catos,PERSON,34040,34045,"Accordingly, he set about reconciling them, by continually urging upon them, and showing that by their attempts to ruin one another they would increase the power of the Ciceros, and Catuli, and Catos, who would lose all their influence if they would unite their friends and adherents, and so direct the administration with combined strength, and one purpose."
Roman,NORP,34368,34373,"By persuasion and effecting a reconciliation, he brought them together, and he formed out of the union of all three an irresistible power by which he put down the Roman senate and the people, though he did not make Pompeius and Crassus more powerful, one through the other, but by means of the two he made himself most powerful; for immediately on being supported by Pompeius and Crassus, he was elected consul by a great majority."
Pompeius,PERSON,34420,34428,"By persuasion and effecting a reconciliation, he brought them together, and he formed out of the union of all three an irresistible power by which he put down the Roman senate and the people, though he did not make Pompeius and Crassus more powerful, one through the other, but by means of the two he made himself most powerful; for immediately on being supported by Pompeius and Crassus, he was elected consul by a great majority."
Crassus,PERSON,34433,34440,"By persuasion and effecting a reconciliation, he brought them together, and he formed out of the union of all three an irresistible power by which he put down the Roman senate and the people, though he did not make Pompeius and Crassus more powerful, one through the other, but by means of the two he made himself most powerful; for immediately on being supported by Pompeius and Crassus, he was elected consul by a great majority."
Pompeius,PERSON,34572,34580,"By persuasion and effecting a reconciliation, he brought them together, and he formed out of the union of all three an irresistible power by which he put down the Roman senate and the people, though he did not make Pompeius and Crassus more powerful, one through the other, but by means of the two he made himself most powerful; for immediately on being supported by Pompeius and Crassus, he was elected consul by a great majority."
Crassus,PERSON,34585,34592,"By persuasion and effecting a reconciliation, he brought them together, and he formed out of the union of all three an irresistible power by which he put down the Roman senate and the people, though he did not make Pompeius and Crassus more powerful, one through the other, but by means of the two he made himself most powerful; for immediately on being supported by Pompeius and Crassus, he was elected consul by a great majority."
Cæsar,PERSON,34643,34648,"While Cæsar was ably discharging the business of the consulship, Crassus and Pompeius, by procuring for him the command of armies, and by delivering Gaul into his hands, fixed him in a kind of acropolis, thinking that they should administer the rest of the State as they mutually agreed, after securing to Cæsar the authority which the lot had given him."
Crassus,PERSON,34702,34709,"While Cæsar was ably discharging the business of the consulship, Crassus and Pompeius, by procuring for him the command of armies, and by delivering Gaul into his hands, fixed him in a kind of acropolis, thinking that they should administer the rest of the State as they mutually agreed, after securing to Cæsar the authority which the lot had given him."
Pompeius,PERSON,34714,34722,"While Cæsar was ably discharging the business of the consulship, Crassus and Pompeius, by procuring for him the command of armies, and by delivering Gaul into his hands, fixed him in a kind of acropolis, thinking that they should administer the rest of the State as they mutually agreed, after securing to Cæsar the authority which the lot had given him."
Gaul,PERSON,34786,34790,"While Cæsar was ably discharging the business of the consulship, Crassus and Pompeius, by procuring for him the command of armies, and by delivering Gaul into his hands, fixed him in a kind of acropolis, thinking that they should administer the rest of the State as they mutually agreed, after securing to Cæsar the authority which the lot had given him."
State,ORG,34894,34899,"While Cæsar was ably discharging the business of the consulship, Crassus and Pompeius, by procuring for him the command of armies, and by delivering Gaul into his hands, fixed him in a kind of acropolis, thinking that they should administer the rest of the State as they mutually agreed, after securing to Cæsar the authority which the lot had given him."
Cæsar,PERSON,34943,34948,"While Cæsar was ably discharging the business of the consulship, Crassus and Pompeius, by procuring for him the command of armies, and by delivering Gaul into his hands, fixed him in a kind of acropolis, thinking that they should administer the rest of the State as they mutually agreed, after securing to Cæsar the authority which the lot had given him."
Pompeius,PERSON,34996,35004,"Now Pompeius did all this through unbounded love of power; but to the old vice of Crassus, his avarice, there was now added a new passion, ambition for trophies and triumphs excited by the great exploits of Cæsar, since it was in this alone that he was Cæsar's inferior; for he had the superiority in everything else; and his passion remitted not nor diminished till it resulted in an inglorious death and public misfortunes."
Crassus,PERSON,35074,35081,"Now Pompeius did all this through unbounded love of power; but to the old vice of Crassus, his avarice, there was now added a new passion, ambition for trophies and triumphs excited by the great exploits of Cæsar, since it was in this alone that he was Cæsar's inferior; for he had the superiority in everything else; and his passion remitted not nor diminished till it resulted in an inglorious death and public misfortunes."
Cæsar,PERSON,35199,35204,"Now Pompeius did all this through unbounded love of power; but to the old vice of Crassus, his avarice, there was now added a new passion, ambition for trophies and triumphs excited by the great exploits of Cæsar, since it was in this alone that he was Cæsar's inferior; for he had the superiority in everything else; and his passion remitted not nor diminished till it resulted in an inglorious death and public misfortunes."
Cæsar,PERSON,35245,35250,"Now Pompeius did all this through unbounded love of power; but to the old vice of Crassus, his avarice, there was now added a new passion, ambition for trophies and triumphs excited by the great exploits of Cæsar, since it was in this alone that he was Cæsar's inferior; for he had the superiority in everything else; and his passion remitted not nor diminished till it resulted in an inglorious death and public misfortunes."
Cæsar,PERSON,35418,35423,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
Gaul,LOC,35443,35447,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
Luca,GPE,35463,35467,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
Romans,NORP,35485,35491,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
Pompeius,PERSON,35515,35523,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
Crassus,PERSON,35528,35535,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
State,ORG,35667,35672,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
Cæsar,PERSON,35705,35710,"Cæsar had come down from Gaul to the city of Luca, and many of the Romans went to him there, and Pompeius and Crassus had private conferences with him, in which they agreed to take affairs in hand more vigorously, and to hold the whole power of the State at their disposal, to which end Cæsar was to remain in his military command, and Pompeius and Crassus were to have other provinces and armies."
